word,surprisal,avg_rt
when,6.85787,273.5076470588236
an,9.51068,268.2735294117647
if,10.7135,269.9958823529411
there,5.661,257.10764705882355
is,2.27227,242.98470588235293
ever,15.5136,261.8264705882353
a,7.6486,256.32176470588234
perfect,13.898,250.51999999999995
time,11.394,264.6276470588235
to,3.54992,252.22058823529412
pull,12.2877,251.1394117647058
the,6.11905,253.96470588235292
out,9.43024,266.92294117647054
from,9.5369,265.5541176470588
under,13.6873,243.56705882352938
on,8.22744,262.55117647058825
In,4.57937,258.90062500000005
helping,14.5581,279.09799999999996
your,12.3062,268.1170588235295
make,13.8706,258.76187500000003
a,4.18413,311.885294117647
fool,17.2659,277.9058823529412
of,6.98915,268.29823529411766
himself,13.1971,238.08625
might,11.5259,265.84812500000004
mean,14.6012,246.0870588235294
getting,12.8575,289.55823529411765
yourself,16.2159,264.4117647058824
But,4.58894,272.3376470588235
in,5.18334,271.52470588235286
with,7.78906,269.92705882352936
the,2.4866,267.87470588235294
top,10.1389,256.39941176470586
brass,9.48023,288.4
watching,14.0175,290.14374999999995
him,6.91759,304.56235294117647
all,11.0148,282.9911764705882
the,3.09318,244.79117647058823
Chandler,15.5374,330.32764705882363
understood,15.5401,309.11312499999997
this,9.68982,284.953125
and,7.8743,268.35764705882355
expected,12.8368,312.4094117647059
the,5.25598,296.229375
But,4.58894,288.61
his,7.98708,241.35411764705884
first,6.49406,245.91176470588235
few,10.875,248.60411764705879
days,5.636,244.0617647058823
with,7.28043,256.46294117647057
H,17.2583,252.07705882352943
were,9.20647,275.76529411764704
full,12.6595,293.62764705882347
of,3.8708,307.9976470588235
beginning,15.7846,339.74470588235295
with,5.90182,323.15588235294115
First,10.532,251.35
Robert,12.9535,325.1958823529411
Chandler,15.5374,280.46294117647057
had,9.47528,263.0211764705883
expected,7.09691,270.84529411764703
a,2.75457,259.36823529411765
tough,10.3892,289.0105882352941
old,13.4779,272.935
with,7.28026,254.69882352941178
a,3.7548,255.80411764705883
Instead,9.2237,285.80999999999995
Early,16.5628,267.42823529411766
was,8.41962,299.2394117647059
sharp,13.627,304.65294117647056
and,6.30236,252.0305882352941
He,5.6328,259.87625
had,6.39844,264.9123529411765
enlisted,18.5995,301.28352941176473
in,6.75918,276.57941176470587
the,2.68569,254.7370588235294
Army,12.742,253.17235294117648
straight,14.5315,252.23176470588237
out,9.9635,255.92941176470583
of,2.11625,238.67470588235295
high,11.3513,233.98588235294116
school,7.4422,256.45176470588234
and,5.68218,235.10588235294114
had,8.99943,252.54999999999995
immediately,13.8613,273.73
set,12.0356,267.11117647058825
about,9.6216,248.58588235294118
learning,15.8819,263.9729411764706
his,9.80664,244.9558823529412
new,7.62957,244.1982352941177
There,7.85717,250.7364705882353
was,3.6777,258.58235294117645
no,2.55555,241.78764705882355
weapon,16.1204,253.01941176470586
Early,16.9754,241.7241176470588
could,9.71677,258.59999999999997
not,6.42524,311.8788235294118
take,11.2015,300.18352941176477
apart,14.7189,258.2405882352941
and,6.94918,240.81411764705882
He,5.6328,313.8152941176471
could,6.94459,242.20058823529416
lead,7.09556,275.16411764705884
a,6.29827,274.693125
patrol,18.1851,251.98
and,6.40841,272.5188235294117
he,10.4645,253.74625
knew,10.5366,286.8611764705882
his,9.82712,258.88941176470587
paper,12.6396,274.0582352941177
he,12.1491,274.08705882352945
had,5.1987,276.5711764705883
taken,7.21014,250.34705882352944
full,13.4988,262.7394117647059
advantage,14.2192,280.30999999999995
of,2.44246,259.0864705882354
the,3.25207,237.79375
correspondence,16.9732,321.7752941176471
He,5.6328,268.5676470588236
not,11.4407,249.918125
only,4.60175,295.3835294117647
knew,14.7107,270.54352941176467
but,10.8521,356.19529411764717
history,13.9632,356.8258823529412
and,4.87654,282.50375
literature,15.5535,329.80176470588236
as,8.2469,290.6311764705883
But,4.58894,303.87117647058824
for,7.16579,297.6782352941177
all,6.79112,275.6452941176471
his,8.75927,254.28176470588235
Early,16.9816,330.01352941176475
was,8.41962,269.8217647058823
right,9.42294,277.3147058823529
out,10.661,282.1464705882352
of,2.11625,251.36647058823527
the,2.05058,265.4864705882353
He,5.6328,297.7217647058824
was,4.8669,259.70176470588234
filled,11.8865,281.1670588235295
with,1.64945,270.62235294117653
the,3.18092,244.95941176470586
spirit,16.8058,257.8376470588235
of,5.42282,259.3947058823529
the,3.44768,248.25235294117647
That,6.63727,259.9435294117647
saved,16.8551,293.19411764705876
Mel,17.4625,249.21058823529415
Early,16.9704,268.87000000000006
let,13.8478,247.35588235294114
the,2.939,270.89882352941174
new,8.32634,240.2835294117647
know,15.5966,270.24705882352936
just,9.21132,259.9782352941177
how,6.42431,281.798
lucky,16.1273,266.2517647058824
he,5.77074,237.80352941176474
was,4.78926,239.7023529411765
to,6.14819,234.5464705882353
be,2.84433,256.53117647058826
in,6.79279,233.62529411764706
the,3.06679,233.3541176470588
best,9.65626,226.48000000000002
troop,17.5022,271.85705882352937
in,7.26562,237.4623529411765
the,2.68569,241.1070588235294
